Step	Epoch	Loss
10	1	6.064833164215088
20	1	6.601922035217285
30	1	4.553014755249023
40	1	3.0621743202209473
50	1	1.739483118057251
60	1	0.9204187393188477
70	1	0.6955732107162476
80	1	0.7547852396965027
90	1	0.4815124571323395
100	1	0.5988414287567139
110	1	0.605819582939148
120	1	0.6315779685974121
130	1	0.6004244685173035
140	1	0.41880032420158386
150	1	0.5571283102035522
160	1	0.5589802861213684
170	1	0.5475906729698181
180	1	0.5535799264907837
190	2	0.4933878183364868
200	2	0.45206519961357117
210	2	0.45714524388313293
220	2	0.44473016262054443
230	2	0.5071689486503601
240	2	0.4743286669254303
250	2	0.6071065068244934
260	2	0.6210128664970398
270	2	0.4317072033882141
280	2	0.4875815510749817
290	2	0.48036691546440125
300	2	0.48365843296051025
310	2	0.21478161215782166
320	2	0.25527000427246094
330	2	0.5246933698654175
340	2	0.33073288202285767
350	2	0.42301177978515625
360	2	0.5176081657409668
370	3	0.3154701292514801
380	3	0.3853340148925781
390	3	0.4493882358074188
400	3	0.380830317735672
410	3	0.468929260969162
420	3	0.5206043720245361
430	3	0.3876948654651642
440	3	0.35451042652130127
450	3	0.32892173528671265
460	3	0.3110690116882324
470	3	0.2958459258079529
480	3	0.3703274428844452
490	3	0.33614152669906616
500	3	0.48569634556770325
510	3	0.4892341196537018
520	3	0.37261641025543213
530	3	0.49276095628738403
540	3	0.43711230158805847
550	4	0.32156482338905334
560	4	0.5148696899414062
570	4	0.3048122525215149
580	4	0.5539394021034241
590	4	0.5646693706512451
600	4	0.5338302254676819
610	4	0.45377117395401
620	4	0.6033179759979248
630	4	0.3799595832824707
640	4	0.2535947859287262
650	4	0.27113544940948486
660	4	0.41631534695625305
670	4	0.26123282313346863
680	4	0.28026095032691956
690	4	0.3803713619709015
700	4	0.4440246522426605
710	4	0.5510295033454895
720	4	0.5957678556442261
730	5	0.5405550599098206
740	5	0.3561856746673584
750	5	0.4772264063358307
760	5	0.3069719672203064
770	5	0.35874325037002563
780	5	0.4560331404209137
790	5	0.34912967681884766
800	5	0.3178384006023407
810	5	0.40871813893318176
820	5	0.3969730734825134
830	5	0.35536760091781616
840	5	0.2131221443414688
850	5	0.33047249913215637
860	5	0.3829556405544281
870	5	0.3142140507698059
880	5	0.36473333835601807
890	5	0.38705188035964966
900	5	0.4175354242324829
